,actual y,predicted y
0,4.0,4.225114250902973
1,7.0,7.169392290126249
2,8.0,7.93608722757463
3,5.0,6.635257029494671
4,10.0,7.821870636184261
5,11.0,6.85501915538291
6,5.0,4.698822869666344
7,8.0,5.373016046809142
8,9.0,6.57480617411414
9,7.0,5.046183180724046
10,10.0,10.348515901156418
11,10.0,6.740532836067741
12,6.0,8.046871061837036
13,7.0,7.327275932457212
14,8.0,8.380326630763086
15,11.0,9.82484568615303
16,10.0,11.543471908554515
17,9.0,9.010226371132362
18,7.0,7.894205198301249
19,8.0,8.415710590776394
20,5.0,6.406013321643777
21,7.0,6.537279795748273
22,4.0,5.498214465361646
23,5.0,5.580938136103179
24,7.0,8.800029818791744
25,7.0,6.5400822465270085
26,6.0,6.319294518250447
27,5.0,7.081633867158548
28,8.0,7.975008716791734
29,6.0,7.037666583651505
30,9.0,7.407106093885194
31,8.0,8.675941294843197
32,4.0,5.906016238047277
33,10.0,5.934605181364528
34,12.0,9.47770760330005
35,7.0,7.507055534287246
36,7.0,8.392836387384627
37,9.0,7.908949997173293
38,6.0,7.737023952065215
39,7.0,5.3056781211096045
40,6.0,5.779424573451773
41,13.0,11.386682547567112
42,3.0,4.065049728633394
43,5.0,6.239168302840114
44,5.0,4.421641127779456
45,6.0,4.576274607018705
46,4.0,4.9287133373804135
47,5.0,5.229515164446366
48,3.0,3.513071380970249
49,9.0,9.721242499013805
50,7.0,7.746233330620317
51,9.0,8.916733332657493
52,12.0,11.740675939243602
53,11.0,9.508920559448331
54,6.0,4.679014356649686
55,5.0,4.881811158588427
56,7.0,6.583566923384694
57,5.0,3.489345830776372
58,7.0,6.204572681400924
59,10.0,7.920675132138835
60,9.0,7.722519574721784
61,8.0,7.383247488546326
62,8.0,6.354869248215024
63,10.0,8.096008065901005
64,8.0,6.977533089440714
65,8.0,6.88745101121987
66,9.0,9.202139835645028
67,3.0,3.4546082088233656
68,5.0,6.587784232117793
69,5.0,3.7866932096422463
70,5.0,7.565618328918236
71,9.0,8.075943329019209
72,10.0,8.12618010134178
73,8.0,7.9758422245727365
74,7.0,7.533830914371327
75,4.0,4.8088428087651
76,7.0,3.8498206937607233
77,9.0,6.815720003905539
78,4.0,4.722671412181981
79,7.0,7.848670017731339
80,5.0,6.643440299132855
81,6.0,5.602309827966166
82,4.0,3.61204522033949
83,6.0,6.36669461574821
84,5.0,7.875939340886333
85,7.0,6.853511100170455
86,8.0,6.246097979274312
87,7.0,8.001209957741874
88,4.0,8.0755016494231
89,5.0,5.09047464229787
90,4.0,3.8685353815210872
91,5.0,6.541957827043204
92,3.0,3.608483599619525
93,3.0,4.7722452181207915
94,9.0,6.8347521650079734
95,6.0,5.526377374189826
96,8.0,7.387887834924228
97,9.0,6.021011094871552
98,3.0,4.875040922740208
99,8.0,7.7775016070535905
100,10.0,9.638200298369913
101,8.0,7.652008946346673
102,5.0,6.626949338874122
103,10.0,7.195240864151335
104,4.0,5.613462632212965
105,10.0,9.303065261756355
106,12.0,10.820420626704465
107,10.0,6.961692806947352
108,7.0,5.2529404795597125
109,6.0,6.366671866626031
110,8.0,10.313928908839841
111,3.0,3.6554892921800834
112,10.0,9.12989934640673
113,5.0,6.613385084431536
114,10.0,11.400583397810475
115,7.0,7.032754536522774
116,11.0,9.086756936726438
117,6.0,6.762419230241245
118,7.0,9.240456287848039
119,8.0,6.435712373711283
120,8.0,5.975650470910339
121,6.0,5.086632167366902
122,9.0,7.368762174946808
123,8.0,7.520105651226521
124,10.0,9.991616909532963
125,6.0,7.161711737702523
126,10.0,9.324098888958403
127,5.0,6.616854028023986
128,7.0,6.557931043792321
129,6.0,6.470275216563697
130,7.0,7.419317190014832
131,5.0,6.1488269830129685
132,6.0,5.930855358510384
133,8.0,6.62020375393895
134,4.0,3.4815293711896276
135,10.0,9.1282907141964
136,3.0,4.4699295734579225
137,7.0,6.028704589600948
138,5.0,6.583660468299297
139,13.0,13.636584161097069
140,8.0,7.721936528741081
141,3.0,4.50625607520341
142,4.0,5.9859715239193525
143,6.0,4.068784353496312
144,10.0,8.321652516597275
145,7.0,7.104174650861831
146,8.0,8.644592063037072
