V Grade,days outdoors,age,sex,height,weight,span,years climbing,years training,# pullups,# pushups,ape index,Weighted hang ratio,Weighted pull ratio
5.0,18.88888888888889,23,1.0,62.0,119.0,63.0,1.0,1.0,16.0,39.0,1.0,1.084033613445378,1.5882352941176472
12.0,8.333333333333334,35,0.0,71.0,152.0,76.0,11.0,11.0,21.0,36.0,5.0,1.888157894736842,1.5921052631578947
8.0,13.333333333333334,28,0.0,70.0,165.0,72.0,5.0,3.0,14.0,34.0,2.0,1.303030303030303,1.4848484848484849
12.0,4.666666666666667,31,0.0,69.0,149.0,70.0,11.0,7.0,22.0,30.0,1.0,1.8389261744966443,1.9060402684563758
5.0,2.2222222222222223,34,0.0,70.0,164.0,72.0,3.0,1.0,20.0,45.0,2.0,1.548780487804878,1.7621951219512195
6.0,3.3333333333333335,37,0.0,69.0,156.0,71.0,5.0,3.0,14.0,29.0,2.0,1.3717948717948718,1.4166666666666667
8.0,7.5,35,0.0,68.0,163.0,72.0,11.0,7.0,15.0,30.0,4.0,1.3987730061349692,1.49079754601227
6.0,1.3333333333333333,53,0.0,68.0,148.0,70.0,11.0,9.0,12.0,26.0,2.0,1.3918918918918919,1.3378378378378377
6.0,5.0,39,0.0,68.0,137.0,68.0,11.0,1.0,16.0,28.0,0.0,,1.6204379562043796
3.0,5.0,32,0.0,69.0,155.0,72.0,3.0,1.0,14.0,30.0,3.0,1.3548387096774195,1.567741935483871
7.0,6.111111111111111,30,1.0,65.0,138.0,63.0,11.0,9.0,11.0,19.0,-2.0,1.2173913043478262,1.434782608695652
9.0,5.0,31,1.0,62.0,113.0,61.0,7.0,3.0,15.0,30.0,-1.0,1.575221238938053,1.4867256637168142
9.0,5.0,26,0.0,70.0,127.0,71.0,5.0,1.0,,25.0,1.0,1.905511811023622,1.590551181102362
4.0,5.0,24,1.0,62.0,130.0,62.0,3.0,3.0,2.0,30.0,0.0,1.0,1.0
8.0,3.3333333333333335,31,1.0,68.5,145.0,69.0,7.0,5.0,8.0,8.0,0.5,1.2413793103448276,1.1724137931034484
8.0,1.25,45,0.0,67.0,144.0,69.0,11.0,9.0,18.0,31.0,2.0,1.5208333333333335,1.7638888888888888
5.0,2.6666666666666665,25,0.0,74.0,145.0,76.0,3.0,1.0,11.0,15.0,2.0,,1.3448275862068966
6.0,8.333333333333334,34,0.0,69.0,148.0,,9.0,5.0,,,,1.5743243243243243,
7.0,3.3333333333333335,27,1.0,61.0,115.0,60.0,5.0,3.0,6.0,7.0,-1.0,1.0,1.2608695652173914
10.0,1.6666666666666667,29,0.0,67.0,145.0,67.0,5.0,3.0,22.0,34.0,0.0,1.6206896551724137,1.793103448275862
6.0,1.6666666666666667,30,1.0,74.0,160.0,75.0,9.0,1.0,6.0,20.0,1.0,1.2125,1.1625
5.0,,45,1.0,63.0,125.0,64.0,11.0,1.0,7.0,15.0,1.0,1.32,1.16
7.0,10.222222222222221,42,0.0,69.0,153.0,70.0,11.0,11.0,28.0,43.0,1.0,1.6209150326797386,1.7189542483660132
10.0,3.3333333333333335,31,0.0,66.0,142.0,68.0,9.0,3.0,21.0,53.0,2.0,1.436619718309859,1.704225352112676
7.0,3.3333333333333335,40,0.0,72.0,195.0,75.0,5.0,3.0,10.0,25.0,3.0,1.205128205128205,1.3333333333333333
10.0,8.333333333333334,31,0.0,69.0,162.0,70.0,11.0,1.0,22.0,37.0,1.0,1.5864197530864197,1.6481481481481481
5.0,5.0,34,1.0,67.0,149.0,71.0,5.0,1.0,11.0,18.0,4.0,1.5369127516778525,1.3691275167785235
3.0,2.5,40,1.0,63.0,119.0,65.0,1.0,1.0,3.0,8.0,2.0,1.0,1.0084033613445378
4.0,4.166666666666667,30,0.0,69.0,160.0,73.0,5.0,1.0,9.0,17.0,4.0,1.25,1.34375
5.0,2.9166666666666665,27,1.0,67.0,140.0,68.0,11.0,9.0,8.0,25.0,1.0,1.2214285714285715,1.2214285714285715
13.0,8.333333333333334,25,0.0,71.0,158.0,75.0,11.0,3.0,16.0,15.0,4.0,1.6329113924050633,1.7911392405063291
